episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated,learning_rate
1,170.0,448,448,1.0,nan,0.7384365359999947,True,False,0.0001
2,200.0,425,873,1.0,nan,1.4978426189999823,True,False,0.0001
3,760.0,766,1639,0.2,0.025465200253529476,4.720090788999983,True,False,0.0001
4,570.0,646,2285,0.2,0.027565807962134755,7.151998495999976,True,False,0.0001
5,1010.0,684,2969,0.2,0.029888863226654804,9.618989957999986,True,False,0.0001
6,670.0,632,3601,0.2,0.032106987558028224,11.918791623000004,True,False,0.0001
7,200.0,536,4137,0.2,0.031517054338517266,13.87010881699996,True,False,0.0001
8,700.0,609,4746,0.2,0.030251991981793635,16.756748569999957,True,False,0.0001
9,400.0,466,5212,0.2,0.032036667430482835,18.576038575999974,True,False,0.0001
10,580.0,548,5760,0.2,0.034124020722449966,20.557993745999966,True,False,0.0001
11,270.0,492,6252,0.2,0.03423224133060775,22.341935214999978,True,False,0.0001
12,480.0,536,6788,0.2,0.03701334372649331,24.263471726999967,True,False,0.0001
13,350.0,417,7205,0.2,0.0322199183932613,25.837452197000005,True,False,0.0001
14,410.0,453,7658,0.2,0.03533892030621656,27.68861947299996,True,False,0.0001
15,490.0,596,8254,0.2,0.03311900788489979,30.411774578999996,True,False,0.0001
16,610.0,647,8901,0.2,0.032208568852734,32.692916862999994,True,False,0.0001
17,250.0,439,9340,0.2,0.03308971811308187,34.325426623,True,False,0.0001
18,860.0,732,10072,0.2,0.035824423692764236,36.888395403000004,True,False,0.0001
19,260.0,365,10437,0.2,0.033408053260255643,38.255533724999964,True,False,0.0001
20,730.0,835,11272,0.2,0.03503020923767399,41.50751296499999,True,False,0.0001
21,590.0,530,11802,0.2,0.037230791183625996,43.65581890599998,True,False,0.0001
22,1130.0,683,12485,0.2,0.03885648742165656,46.08760281999997,True,False,0.0001
23,670.0,951,13436,0.2,0.03642204167426979,50.33387302299997,True,False,0.0001
24,780.0,692,14128,0.2,0.03986296745695475,52.876773018999984,True,False,0.0001
25,1460.0,854,14982,0.2,0.04038753693140693,56.35086977499998,True,False,0.0001
26,490.0,594,15576,0.2,0.04524550683196359,60.618397738,True,False,0.0001
27,520.0,592,16168,0.2,0.037993224097787076,62.70150838899997,True,False,0.0001
28,380.0,445,16613,0.2,0.03964615067223775,64.31182243,True,False,0.0001
29,240.0,428,17041,0.2,0.03852676455732261,66.08205253599999,True,False,0.0001
30,350.0,405,17446,0.2,0.037505465151631445,68.051686018,True,False,0.0001
31,320.0,458,17904,0.2,0.0442271602542504,69.69455081699999,True,False,0.0001
32,240.0,309,18213,0.2,0.04074039347711709,70.86704444999998,True,False,0.0001
33,480.0,623,18836,0.2,0.04349104856821494,72.99139336599995,True,False,0.0001
34,360.0,424,19260,0.2,0.04407810551149525,74.47840517099996,True,False,0.0001
35,250.0,417,19677,0.2,0.04013820187761807,75.98657691199998,True,False,0.0001
36,270.0,435,20112,0.2,0.045586156045778765,77.51735407399997,True,False,0.0001
37,1050.0,596,20708,0.2,0.04394868850683006,80.240012492,True,False,0.0001
38,560.0,586,21294,0.2,0.04658638435569018,82.34593677099997,True,False,0.0001
39,420.0,534,21828,0.2,0.053108647715911936,84.15911554899998,True,False,0.0001
40,330.0,466,22294,0.2,0.053358948323875666,85.78918231399996,True,False,0.0001
41,1890.0,604,22898,0.2,0.05340628831382126,87.867748339,True,False,0.0001
42,410.0,606,23504,0.2,0.04897543292272052,89.97393001,True,False,0.0001
43,660.0,562,24066,0.2,0.052764867578766174,92.320188003,True,False,0.0001
44,400.0,437,24503,0.2,0.05558882536229874,94.15981753399996,True,False,0.0001
45,1380.0,873,25376,0.2,0.06069838706846243,97.12351671900001,True,False,0.0001
46,790.0,567,25943,0.2,0.05260562176439673,99.08521817799999,True,False,0.0001
47,330.0,380,26323,0.2,0.05443278427578901,100.486602646,True,False,0.0001
48,610.0,610,26933,0.2,0.05646383316785682,102.62457836799996,True,False,0.0001
49,350.0,385,27318,0.2,0.056263069059544556,104.304238376,True,False,0.0001
50,200.0,379,27697,0.2,0.05411836950010375,106.16983944499998,True,False,0.0001
51,620.0,607,28304,0.2,0.06316227726577046,110.22734539099997,True,False,0.0001
52,1530.0,1078,29382,0.2,0.06181745303164628,113.829346326,True,False,0.0001
53,390.0,420,29802,0.2,0.060984665758553006,115.32886432599997,True,False,0.0001
54,1310.0,885,30687,0.2,0.06212186644367907,119.05754520799996,True,False,0.0001
55,820.0,573,31260,0.2,0.05140767317142389,121.06612667299999,True,False,0.0001
56,790.0,645,31905,0.2,0.05646017400883369,123.33293696599998,True,False,0.0001
57,710.0,497,32402,0.2,0.05763151741496498,125.06660970299998,True,False,0.0001
58,800.0,686,33088,0.2,0.05928995367139578,127.44149517299996,True,False,0.0001
59,410.0,418,33506,0.2,0.05427136403830865,129.08133239399996,True,False,0.0001
60,300.0,387,33893,0.2,0.059031107664569135,130.99043329799997,True,False,0.0001
61,660.0,618,34511,0.2,0.05866288727560601,133.29703010999998,True,False,0.0001
62,620.0,690,35201,0.2,0.06434148811126893,135.71692026899996,True,False,0.0001
63,720.0,798,35999,0.2,0.06588485655632226,138.515402882,True,False,0.0001
64,590.0,591,36590,0.2,0.06703316091207435,140.63192282199998,True,False,0.0001
65,350.0,518,37108,0.2,0.06707971515850379,142.87222274199996,True,False,0.0001
66,790.0,612,37720,0.2,0.06715308582970227,145.348626024,True,False,0.0001
67,350.0,419,38139,0.2,0.06814383258684896,146.86759250799997,True,False,0.0001
68,670.0,683,38822,0.2,0.07211824331149372,149.274861525,True,False,0.0001
69,430.0,605,39427,0.2,0.07028664813210435,151.34178504699997,True,False,0.0001
70,700.0,679,40106,0.2,0.06479927097063731,153.710684233,True,False,0.0001
71,510.0,442,40548,0.2,0.06605100284355718,155.689147622,True,False,0.0001
72,1050.0,765,41313,0.2,0.07136191903608631,158.63121721199997,True,False,0.0001
73,800.0,688,42001,0.2,0.0708923194514111,160.97695910099998,True,False,0.0001
74,630.0,531,42532,0.2,0.07406091581525884,162.856867519,True,False,0.0001
75,770.0,695,43227,0.2,0.05851049827831673,165.275786504,True,False,0.0001
76,650.0,584,43811,0.2,0.07116054888967782,170.01673805899998,True,False,0.0001
77,730.0,715,44526,0.2,0.0777464756721308,172.54245419900002,True,False,0.0001
78,430.0,626,45152,0.2,0.07554535042779272,174.76913748499993,True,False,0.0001
79,220.0,358,45510,0.2,0.08280949176320535,176.10079773399997,True,False,0.0001
80,1020.0,855,46365,0.2,0.06471983564225521,179.02438476799995,True,False,0.0001
81,1190.0,628,46993,0.2,0.07715561938513617,181.82481206099993,True,False,0.0001
82,330.0,452,47445,0.2,0.0772282936387753,183.58745939,True,False,0.0001
83,510.0,474,47919,0.2,0.06656951097755741,185.24922367300002,True,False,0.0001
84,910.0,862,48781,0.2,0.08124144253734913,188.15936643000003,True,False,0.0001
